month,import_cost,export_revenue,net_revenue
2024-01,2846.829950760724,4050.159343916356,1203.3293931556325
2024-02,3559.8089889028342,4960.3493897376875,1400.5404008348528
2024-03,4198.29810499056,5254.88207980952,1056.5839748189603
2024-04,5618.7570252215055,6521.729579186064,902.9725539645591
2024-05,9882.176229892755,10254.903352901916,372.7271230091602
2024-06,3263.2961518000543,4558.771476742391,1295.4753249423375
2024-07,3201.5307688349926,5739.756907000608,2538.226138165616
2024-08,3586.1430208449706,6174.175494483014,2588.0324736380426
2024-09,541.4248753863791,2992.512490813101,2451.087615426722
2024-10,591.8255111984124,2358.3819152016467,1766.556404003234
2024-11,3514.5165963505933,5350.197974278535,1835.6813779279416
2024-12,1220.569167156256,3292.0797734893395,2071.510606333083
