timestamp,state_of_charge_kWh,charge_kWh,discharge_kWh
2024-01-01 00:00:00,0.0,0.0,0.0
2024-01-01 00:30:00,0.0,0.0,3.552713678800501e-15
2024-01-01 01:00:00,0.0,0.0,0.0
2024-01-01 01:30:00,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,50.912540898930814,0.0
2024-01-01 02:30:00,48.36691385398427,25.994367773416382,0.0
2024-01-01 03:00:00,73.06156323872983,50.81983989893081,0.0
2024-01-01 03:30:00,121.34041114271406,50.76833989893081,6.750155989704076e-15
2024-01-01 04:00:00,169.57033404669832,51.26274189893081,2.7000623958816305e-14
2024-01-01 04:30:00,218.26993885068256,51.00524089893081,-6.750155989704076e-15
2024-01-01 05:00:00,266.72491770466684,0.0,118.75
2024-01-01 05:30:00,141.7249177043543,0.0,118.75
2024-01-01 06:00:00,16.724917704041815,0.0,15.8886718188
2024-01-01 06:30:00,0.0,61.26956343909081,0.0
2024-01-01 07:00:00,58.20608526713627,65.04175731903081,0.0
2024-01-01 07:30:00,119.99575472021553,0.0,3.25118775321
2024-01-01 08:00:00,116.57345182209119,0.0,110.74477923070977
2024-01-01 08:30:00,0.0,71.30680559088881,0.0
2024-01-01 09:00:00,67.74146531134437,12.4414214688,0.0
2024-01-01 09:30:00,79.56081570670437,10.649866670800007,0.0
2024-01-01 10:00:00,89.67818904396438,80.56283494114078,0.0
2024-01-01 10:30:00,166.2128822380481,83.7448255227308,0.0
2024-01-01 11:00:00,245.77046648464238,87.37205805753081,0.0
2024-01-01 11:30:00,328.7739216392967,18.73496767700014,0.0
2024-01-01 12:00:00,346.5721409324468,0.0,118.75
2024-01-01 12:30:00,221.5721409321343,84.96034559813081,0.0
2024-01-01 13:00:00,302.2844692503586,80.1350015793008,0.0
2024-01-01 13:30:00,378.41272075069446,0.0,118.75
2024-01-01 14:00:00,253.41272075038194,73.1219095895408,0.0
2024-01-01 14:30:00,322.8785348604456,70.36232953054284,0.0
2024-01-01 15:00:00,389.7227479144613,66.19161629656081,0.0
2024-01-01 15:30:00,452.6047833961941,30.848057898970815,25.51925435392686
2024-01-01 16:00:00,455.04806539601566,47.317825898930884,0.0
2024-01-01 16:30:00,500.0,48.739231898950806,43.987156788693135
2024-01-01 17:00:00,500.0,49.36753389895681,44.55419934369713
2024-01-01 17:30:00,500.0,49.57353489893081,44.740115246173204
2024-01-01 18:00:00,500.0,49.52203489888081,44.69363649612819
2024-01-01 18:30:00,500.0,0.0,118.75
2024-01-01 19:00:00,374.9999999996875,49.93403689893081,0.0
2024-01-01 19:30:00,422.43733505367175,50.07823689893081,0.0
2024-01-01 20:00:00,470.011660107656,50.43873889893081,17.03203895851564
2024-01-01 20:30:00,500.0,0.0,118.75000000000001
2024-01-01 21:00:00,374.9999999996875,50.716839898930814,68.03316010106921
2024-01-01 21:30:00,351.5671451655251,0.0,118.74999999999997
2024-01-01 22:00:00,226.56714516521265,0.0,118.75
2024-01-01 22:30:00,101.56714516490014,51.108241898930814,67.6417581010692
2024-01-01 23:00:00,78.91812433600198,50.76833989893081,67.98166010106921
2024-01-01 23:30:00,55.58840502815555,3.079690029414682,55.58840502815555
2024-01-02 00:00:00,0.0,0.0,0.0
2024-01-02 00:30:00,-0.0,0.0,0.0
2024-01-02 01:00:00,0.0,0.0,0.0
2024-01-02 01:30:00,0.0,0.0,0.0
2024-01-02 02:00:00,-0.0,50.99494089893081,0.0
2024-01-02 02:30:00,48.445193853984264,17.127998713427857,0.0
2024-01-02 03:00:00,64.71679263174073,0.0,0.0
2024-01-02 03:30:00,64.71679263174073,0.0,0.0
2024-01-02 04:00:00,64.71679263174073,0.0,20.363184
2024-01-02 04:30:00,43.28186210537136,0.0,20.445583999999997
2024-01-02 05:00:00,21.760194736896505,0.0,20.672185
2024-01-02 05:30:00,0.0,0.0,0.0
2024-01-02 06:00:00,0.0,0.0,-0.0
2024-01-02 06:30:00,0.0,0.0,-0.0
2024-01-02 07:00:00,0.0,0.0,-0.0
2024-01-02 07:30:00,0.0,0.0,-0.0
2024-01-02 08:00:00,0.0,0.0,-0.0
2024-01-02 08:30:00,0.0,-0.0,-0.0
2024-01-02 09:00:00,-0.0,94.4538732620308,0.0
2024-01-02 09:30:00,89.73117959892926,107.11716207476542,11.632837925234583
2024-01-02 10:00:00,179.24739101704728,110.9919231870154,7.758076812984591
2024-01-02 10:30:00,276.52332139944457,113.47982931261541,5.270170687384592
